---------------------------计算结果---------------------------

ID            Height-E      Fangwei-A     IonDelay      
G14           -69.034424    243.050469    0             
G13           61.151963     168.020765    4.299         
G20           34.581103     279.004595    6.421         
G18           -7.45454      254.591238    0             
G16           -18.453721    358.201101    0             
G19           1.043868      155.282014    13.633        
G23           -34.170235    30.261632     0             
G02           58.51293      88.572625     4.247         
G31           -40.193385    301.46088     0             
G17           -19.014419    149.304939    0             
G12           4.344117      221.155174    14.042        
G15           34.435093     207.153255    6.558         
G29           43.014845     302.392806    5.424         
G07           6.11241       55.231514     8.445         
G05           61.1412       0.085678      4.18          
G25           5.272171      254.484945    13.518        
G01           -61.235542    146.145612    0             
G24           -8.243179     192.090095    0             
G27           -50.225672    353.384058    0             
G06           18.57015      111.341807    8.014         
R14           0.14009       75.050536     8.688         
R15           -3.153789     112.254651    0             
R19           49.130893     151.123342    4.905         
R20           70.243103     331.16441     3.982         
R01           -72.084424    162.481157    0             
R06           32.380029     249.590683    6.861         
R05           62.122781     336.151053    4.187         
R04           23.374574     32.075036     6.902         
R21           17.391487     330.473637    8.59          

