OID,POINT_X,POINT_Y,value
0,15573325.142400000244379,5075706.228229999542236,690
1,14746348.230000000447035,5172378.181400000117719,879
2,15541468.843699999153614,6382577.284819999709725,241
3,14908308.070399999618530,5069432.509259999729693,377
4,12657999.035499999299645,5735518.654260000213981,355
5,16530195.202600000426173,5846797.727939999662340,712
6,12425428.129000000655651,2621624.117329999804497,769
7,11768880.243799999356270,2376959.645630000159144,381
8,14279662.415599999949336,4139035.832529999781400,825
9,14044970.872700000181794,2525101.255590000189841,263
10,16478580.807499999180436,2767015.402979999780655,585
11,15808958.448200000450015,4855898.672269999980927,359
12,16408263.624800000339746,3443909.698139999993145,526
13,13148886.820499999448657,5844778.090320000424981,854
14,14928218.674499999731779,5418642.089420000091195,576
15,14594968.194099999964237,5794475.354290000163019,409
16,15692013.983500000089407,2369288.691980000119656,419
17,12858753.718399999663234,3227144.659299999941140,299
18,15154045.846300000324845,2950017.987980000209063,201
19,15983463.995100000873208,3268332.872609999962151,595
20,16166848.384700000286102,2317391.766239999793470,214
21,11410263.391000000759959,3026399.170409999787807,718
22,12842831.691700000315905,4101132.548770000226796,600
23,11916664.660199999809265,4895284.550359999760985,794
24,13199243.305299999192357,5192157.880269999615848,493
25,11231220.461600000038743,4194573.526770000346005,392
26,12902831.783999999985099,4012261.862639999948442,721
27,16178349.914499999955297,3349112.463279999792576,438
28,16254141.789799999445677,5483493.214010000228882,553
29,12373714.659499999135733,6198049.158689999952912,603
30,16308487.965199999511242,4927905.930700000375509,583
31,14242166.671499999240041,3133372.732400000095367,221
32,16349196.389799999073148,3590848.810430000070482,734
33,12651376.639000000432134,3115258.305670000147074,339
34,12973165.664699999615550,2837050.606399999931455,543
35,13988902.584799999371171,6420449.387550000101328,682
36,16139726.503900000825524,4959805.461090000346303,694
37,14556980.417899999767542,3632877.714399999938905,462
38,14406106.885600000619888,3569421.495509999804199,267
39,13864501.940700000151992,3863242.272929999977350,398
40,13256027.377599999308586,3629437.925580000039190,802
41,12890466.414999999105930,4337697.385639999993145,581
42,14662092.733899999409914,3513212.051049999892712,679
43,15814640.195000000298023,3001664.773250000085682,537
44,11422805.758099999278784,2902494.409769999794662,310
45,11957935.248199999332428,5469640.025410000234842,277
46,14542478.827800000086427,4765768.476049999706447,642
47,13911886.195100000128150,4261937.023409999907017,613
48,15956605.941600000485778,5547121.703030000440776,457
49,13547904.856100000441074,3062923.636419999878854,567
50,16652262.590299999341369,4185983.507809999864548,883
51,11422842.493499999865890,3386944.230219999793917,447
52,12734603.543099999427795,5126055.749710000120103,690
53,11671502.406099999323487,2676372.093489999882877,485
54,12176420.899599999189377,2473724.713930000085384,276
55,14406076.829299999400973,3053157.529079999774694,880
56,12109445.528000000864267,3277005.748970000073314,286
57,15163139.535499999299645,6381640.667150000110269,262
58,14753185.473200000822544,2752657.504509999882430,224
59,16176188.089999999850988,4928976.404319999739528,715
60,14032771.369699999690056,3571808.255150000099093,651
61,11696193.069099999964237,3203751.851859999820590,829
62,14419318.282800000160933,5195726.362219999544322,567
63,13283417.538300000131130,6119196.297969999723136,831
64,16630026.521999999880791,2720602.579080000054091,297
65,16633990.608999999240041,2540679.696159999817610,781
66,11601003.772500000894070,6394298.161399999633431,200
67,13126274.492300000041723,4862902.707650000229478,412
68,16441016.045399999246001,5902176.748730000108480,318
69,14985364.535099999979138,2338935.924199999775738,839
70,12386559.815600000321865,2387246.742959999945015,776
71,15074594.899399999529123,5086336.491120000369847,747
72,13461225.934599999338388,3547526.316829999908805,621
73,15074377.826300000771880,4252095.553629999980330,691
74,11760791.769600000232458,2629320.843359999824315,661
75,15352473.951899999752641,4681635.833479999564588,748
76,11636053.827400000765920,3502231.084329999983311,864
77,12413204.135700000450015,2695786.168870000168681,876
78,16257081.737500000745058,4755564.766119999811053,439
79,15825718.710699999704957,5622570.027830000035465,252
80,11538627.009099999442697,5633044.817239999771118,692
81,14711032.121600000187755,4261288.510250000283122,448
82,12074344.266100000590086,3564264.438269999809563,717
83,13898779.438300000503659,4183769.654719999991357,716
84,11177905.104699999094009,5635266.110630000010133,597
85,16005290.407700000330806,3460088.271199999842793,746
86,16105489.081399999558926,6009520.013450000435114,305
87,11652623.733599999919534,3286722.153119999915361,267
88,16233451.949200000613928,4432649.555680000223219,499
89,12890644.526200000196695,2486716.855889999773353,442
90,16242561.223099999129772,4327631.189890000037849,656
91,15627182.625299999490380,3833061.760979999788105,449
92,14826281.190400000661612,3299421.687239999882877,685
93,15939684.265799999237061,4847359.065190000459552,630
94,16643822.346499999985099,3149314.995930000208318,500
95,15954064.517599999904633,5807166.060239999555051,394
96,12929621.932700000703335,2987471.755049999803305,294
97,11734820.932399999350309,3910393.518029999919236,603
98,11446133.870600000023842,4918554.477330000139773,688
99,16328316.192900000140071,2885392.123079999815673,887
